best_score,best_iter,seed,savename,batch_size,lr,dropout,depth,filter_size,n_filters,n_neurons,activation
0.8772719478737998,1200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 1, 'dropout': 0.8, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.0001,0.8,1,1,128,16,relu
0.8766901822457378,300,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 1, 'dropout': 0.1, 'depth': 2, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.0001,0.1,2,1,128,128,elu
0.5068770821085635,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.01,0.1,1,2,32,32,elu
0.8705112188908486,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.2, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.2,2,1,16,16,relu
0.871821722516167,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.4, 'depth': 2, 'batch_size': 64, 'activation': 'elu'}_seed=0.pth.tar",64,0.001,0.4,2,2,16,128,elu
0.8780986674505193,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 64, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.0, 'depth': 2, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.01,0.0,2,2,64,128,relu
0.8619072114442486,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.01,0.4,1,1,16,128,elu
0.8451217421124829,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.4, 'depth': 2, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.01,0.4,2,1,64,32,elu
0.8823731138545954,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.1, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.001,0.1,1,1,16,128,elu
0.8718431559866746,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.2, 'depth': 1, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.01,0.2,1,4,32,32,relu
0.8791091024887322,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 16, 'lr': 0.001, 'filter_size': 3, 'dropout': 0.0, 'depth': 1, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.0,1,3,16,64,relu
0.5,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 32, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.4, 'depth': 1, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.01,0.4,1,3,32,16,elu
0.5732259210268469,0,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 32, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.2, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.01,0.2,2,4,32,128,elu
0.8787784146580444,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.0, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.0,2,1,64,16,relu
0.8734139231824418,600,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 128, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.4, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.4,2,1,128,16,relu
0.8547300607485793,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 64, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.1, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.01,0.1,2,2,64,64,elu
0.8800827944346463,1500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 3, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.4,1,3,16,32,relu
0.8601802861062121,300,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 32, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.4,1,3,32,128,relu
0.8237433862433863,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 32, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.01,0.4,1,4,32,128,elu
0.5,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,1,3,128,64,relu
0.8805420830883794,1000,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.0, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.0001,0.0,1,2,64,16,elu
0.8797766019988242,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 16, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.0, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.0,2,1,16,32,relu
0.5243698559670782,0,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.01,0.1,1,3,32,32,elu
0.8672778267685676,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.2, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.01,0.2,1,4,64,32,relu
0.8829242602390751,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 3, 'dropout': 0.2, 'depth': 2, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.0001,0.2,2,3,128,32,elu
0.8785702038016853,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.2, 'depth': 1, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.2,1,2,64,16,relu
0.8719503233392122,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.1, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.01,0.1,2,1,64,32,relu
0.8775597687634725,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 32, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.1, 'depth': 1, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.0001,0.1,1,2,32,16,relu
0.872085048010974,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,1,2,16,128,relu
0.8756552518126592,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.1, 'depth': 2, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.0001,0.1,2,2,16,16,relu
0.8716196355085245,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.0, 'depth': 2, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.01,0.0,2,2,16,128,relu
0.5677665098961395,0,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.1, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.01,0.1,1,1,32,32,elu
0.8767575445816187,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.001, 'filter_size': 3, 'dropout': 0.0, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.0,1,3,128,64,relu
0.8823363707622967,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 3, 'dropout': 0.8, 'depth': 2, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.8,2,3,128,128,relu
0.8700060013717422,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.01,0.8,2,3,128,128,relu
0.8663592494611013,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.4,1,1,16,16,relu
0.8768432784636487,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 16, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.001,0.8,2,1,16,64,elu
0.878760043111895,800,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.0001,0.4,1,1,16,128,elu
0.8807809131883206,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.4, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.001,0.4,1,1,64,16,elu
0.8838734567901234,1000,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 4, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.4,1,4,16,128,relu
0.8776944934352342,600,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 128, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.8, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.001,0.8,1,1,128,32,relu
0.8800460513423476,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.4, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.4,1,2,16,128,relu
0.8805451450127377,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.1, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,2,4,16,128,relu
0.871405300803449,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.8, 'depth': 2, 'batch_size': 128, 'activation': 'elu'}_seed=0.pth.tar",128,0.001,0.8,2,2,128,64,elu
0.8768983931020968,600,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 32, 'lr': 0.001, 'filter_size': 4, 'dropout': 0.8, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.001,0.8,1,4,32,128,elu
0.8791397217323142,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.001, 'filter_size': 4, 'dropout': 0.4, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.4,2,4,16,16,relu
0.8795255242014502,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.2, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.2,2,2,64,32,relu
0.8640413727219283,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.8, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.8,1,2,64,32,relu
0.8763839898099158,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.001, 'filter_size': 3, 'dropout': 0.8, 'depth': 1, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.001,0.8,1,3,128,128,relu
0.8750673623358808,300,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.0, 'depth': 2, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.01,0.0,2,3,16,16,elu
